CODE,TYPE,INDEX_CODE,DESCRIPTION,HR,lCI,uCI
B019,1,1869,Varicella without complication,1.45217800177982,1.24413298035026,1.69501249638085
S5253,1,2083,Fracture of lower end of radius with volar angulation and intra-articular fracture,1.44992474731057,1.25199281034723,1.67914843878423
Z433,1,1867,Attention to colostomy,1.44147581538543,1.22287577374754,1.69915258029311
M0696,1,1578,"Rheumatoid arthritis, unspecified, lower leg",1.43774021513644,1.18810270276459,1.7398301690676
C55,1,1649,"Malignant neoplasm of uterus, part unspecified",1.43673479762471,1.23711170835531,1.66856951135805
H402,1,1809,Primary angle-closure glaucoma,1.4354010341281,1.22624971452427,1.68022557263172
R198,1,1617,Other specified symptoms and signs involving the digestive system and abdomen,1.42702693171636,1.22302903624758,1.66505111774924
M7916,1,1750,"Myalgia, lower leg",1.42545357676339,1.18745380137656,1.71115532844481
J381,1,2036,Polyp of vocal cord and larynx,1.42149571462387,1.19381034276108,1.69260559597819
S325,1,1031,Fracture of pubis,1.4189779629925,1.22821879389046,1.63936463883642
O001,1,768,Tubal pregnancy,1.41323948721853,1.24276362055949,1.607100348926
A419,1,793,"Septicaemia, unspecified",1.41002084409897,1.1943421296074,1.66464761771997
T8141,1,701,Wound infection following a procedure,1.4094079431237,1.21796986033353,1.63093588341851
M500,1,1918,Cervical disc disorder with myelopathy (G99.2*),1.40901190811622,1.16023474086172,1.71113179712131
R568,1,835,Other and unspecified convulsions,1.40490917404023,1.15146186205729,1.71414256289472
G431,1,1470,Migraine with aura [classical migraine],1.39988628628658,1.21423763589465,1.61391934873551
G419,1,2153,"Status epilepticus, unspecified",1.39714152561843,1.19384183145221,1.63506118748825
R268,1,1504,Other and unspecified abnormalities of gait and mobility,1.39487573075915,1.16492657709552,1.67021539598829
N930,1,1384,Postcoital and contact bleeding,1.39103477588942,1.21434785843183,1.59342953857761
I441,1,2154,"Atrioventricular block, second degree",1.39074654374108,1.17816984408853,1.64167836974651
G4030,1,1117,"Generalised idiopathic epilepsy and epileptic syndromes, without mention of intractable epilepsy",1.38748030276346,1.21790435202775,1.58066730556581
A090,1,1046,Other gastroenteritis and colitis of infectious origin,1.38744766724288,1.23430646371913,1.55958919921507
O241,1,1114,"Pre-existing diabetes mellitus, non-insulin-dependent",1.38432624908701,1.19396911160048,1.60503244622675
H358,1,1496,Other specified retinal disorders,1.38235781623685,1.14943097783265,1.66248619444232
H811,1,744,Benign paroxysmal vertigo,1.37895880991433,1.2437031365342,1.528923859386
C500,1,2026,Malignant neoplasm of nipple and areola,1.37825697796138,1.18375083552749,1.60472308891994
Z548,1,1487,Convalescence following other treatment,1.37571677433183,1.14668292851199,1.65049692126658
M0094,1,1710,"Pyogenic arthritis, unspecified, hand",1.37404448400193,1.17998385773761,1.60002039997056
G444,1,2039,"Drug-induced headache, not elsewhere classified",1.37242677571834,1.19477048226859,1.57649965634588
R13,1,1138,Dysphagia,1.37173882281012,1.22875538585276,1.53136044787191
F6031,1,1004,"Emotionally unstable personality disorder, borderline type",1.37018778125947,1.13408258317304,1.65544783401922
R11,1,668,Nausea and vomiting,1.36965848328531,1.09121649881807,1.71914955727606
J101,1,1204,"Influenza with other respiratory manifestations, influenza virus identified",1.36915021447845,1.19241258008479,1.57208364044019
C64,1,1106,"Malignant neoplasm of kidney, except renal pelvis",1.36867693163124,1.19170898853658,1.57192448928315
R933,1,1406,Abnormal findings on diagnostic imaging of other parts of digestive tract,1.36785013157715,1.18434495100959,1.57978803460992
F419,1,854,"Anxiety disorder, unspecified",1.36610482105971,1.12519988700365,1.65858742404631
H269,1,909,"Cataract, unspecified",1.36501781417846,1.22458430884525,1.52155602482083
S2240,1,1785,"Multiple rib fractures, unspecified",1.36137972600939,1.13909395957895,1.62704291670064
S641,1,1630,Injury of median nerve at wrist and hand level,1.35995232803699,1.12502948400625,1.6439305465553
S7308,1,2146,Other dislocation of hip,1.35702001325264,1.11930395650771,1.64522184136094
M1093,1,989,"Gout, unspecified, forearm",1.35617998348696,1.15054708038954,1.59856487314539
K631,1,1382,Perforation of intestine (nontraumatic),1.35536121461566,1.17556497159452,1.56265631119712
N981,1,1313,Hyperstimulation of ovaries,1.35483869243071,1.16544953113475,1.57500417947753
J330,1,1161,Polyp of nasal cavity,1.34606417203875,1.16030657025928,1.56156036834429
C446,1,890,"Malignant neoplasm of skin of upper limb, including shoulder",1.34596769133915,1.1760501683347,1.54043515736589
M1097,1,870,"Gout, unspecified, ankle and foot",1.34256102973833,1.12783354459914,1.59817033923449
D126,1,2111,"Benign neoplasm of colon, unspecified",1.34191089897645,1.16222656510479,1.54937506580693
Z540,1,1253,Convalescence following surgery,1.34166194344725,1.1464759569272,1.57007808111317
M7918,1,1393,"Myalgia, other",1.34136851126046,1.14095292430519,1.57698836180887
F333,1,1631,"Recurrent depressive disorder, current episode severe with psychotic symptoms",1.33717866234077,1.09749902097747,1.62920124833183
H332,1,1373,Serous retinal detachment,1.33107254210153,1.15020052476936,1.54038715352864
C829,1,2095,"Follicular non-Hodgkin's lymphoma, unspecified",1.33058366906939,1.07613144502963,1.64520134466047
K703,1,2046,Alcoholic cirrhosis of liver,1.3287123335338,1.09177098986726,1.6170758168794
K4091,1,727,"Unilateral or unspecified  inguinal hernia, without obstruction or gangrene, recurrent",1.32595453615713,1.13101788840143,1.55448950010917
K296,1,930,Other gastritis,1.3190301407682,1.15822485772905,1.50216126052267
S699,1,1766,Unspecified injury of wrist and hand,1.31420483125253,1.16463509509872,1.48298325008066
E049,1,971,"Nontoxic goitre, unspecified",1.31149258255973,1.13034798805358,1.52166661266057
L570,1,1508,Actinic keratosis,1.30903016989687,1.10018225230155,1.55752374855667
G410,1,2155,Grand mal status epilepticus,1.30721772607742,1.11208908864267,1.53658389496176
S524,1,1656,Fracture of shafts of both ulna and radius,1.30616703148966,1.11599713132616,1.52874256237841
J329,1,1327,"Chronic sinusitis, unspecified",1.30346500487344,1.14677650188512,1.48156246324964
S202,1,698,Contusion of thorax,1.30110608179789,1.13611211409894,1.49006160138877
E1172,1,1263,Type 2 diabetes mellitus with features of insulin resistance,1.30093571942624,1.10364533603749,1.53349422211628
O322,1,1185,Maternal care for transverse and oblique lie,1.29621492065668,1.11041004840693,1.51311051529432
O998,1,664,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",1.29572249017941,1.10819229901293,1.51498686017952
M8795,1,1687,"Unspecified osteonecrosis, pelvic region and thigh",1.29227165963963,1.10502911870011,1.51124166236652
C492,1,1677,"Malignant neoplasm of connective and soft tissue of lower limb, including hip",1.29046892473961,1.12123603884319,1.48524484410682
M771,1,1497,Lateral epicondylitis,1.28840309762322,1.10920150173335,1.49655634199112
F313,1,1883,"Bipolar affective disorder, current episode mild or moderate depression",1.28744715696248,1.10401394318957,1.50135801472044
T232,1,1551,"Partial thickness [blisters, epidermal loss] burn of wrist and hand",1.28545039217437,1.12049139773655,1.47469468670544
N40,1,1296,Hyperplasia of prostate,1.28309787042637,1.11395660706827,1.4779212535267
F3290,1,975,"Depressive episode, unspecified, not specified as arising in the postnatal period",1.28089839348724,1.0841157371159,1.5133999427063
I978,1,1143,"Other postprocedural disorders of circulatory system, not elsewhere classified",1.27785508375338,1.08867890044709,1.49990379569564
E059,1,1986,"Thyrotoxicosis, unspecified",1.27654809627503,1.10998185667725,1.46810962026132
D140,1,2101,"Benign neoplasm of middle ear, nasal cavity and accessory sinuses",1.27631783060432,1.083868604761,1.50293790000286
O200,1,762,Threatened abortion,1.27422082185069,1.0815013498748,1.50128217872848
S199,1,726,Unspecified injury of neck,1.27267854795962,1.10774354914231,1.46217117462854
F311,1,1548,"Bipolar affective disorder, current episode manic without psychotic symptoms",1.27086413258719,1.09940599663421,1.46906206482515
K295,1,679,"Chronic gastritis, unspecified",1.26596136730915,1.1130810552106,1.43983960199199
H609,1,1483,"Otitis externa, unspecified",1.26328826225565,1.04855699803918,1.52199378435055
M543,1,1566,Sciatica,1.26319425337841,1.11128028101483,1.43587513341916
J069,1,961,"Acute upper respiratory infection, unspecified",1.26157798967696,1.05446182102833,1.50937567610102
S011,1,1800,Open wound of eyelid and periocular area,1.25909176906183,1.07612247996132,1.47317067753871
D120,1,1648,Benign neoplasm of caecum,1.25868941826021,1.08637625749753,1.45833364886826
E1164,1,1447,Type 2 diabetes mellitus with hypoglycaemia,1.2581270923222,1.01315893340598,1.5623252465572
M201,1,732,Hallux valgus (acquired),1.25660861211809,1.08095896011946,1.46080032851094
C220,1,1167,Liver cell carcinoma,1.25477728593763,1.06338132449543,1.4806222387365
N998,1,1170,Other postprocedural disorders of genitourinary system,1.25173619269386,1.05985802049464,1.4783522564357
T8142,1,1328,Sepsis following a procedure,1.24933699756784,1.09545509643624,1.42483515624655
K130,1,1629,Diseases of lips,1.2491183738571,1.08178247421665,1.44233868554512
I495,1,2054,Sick sinus syndrome,1.24878953654513,1.05495983470491,1.47823192436592
M7986,1,729,"Other specified soft tissue disorders, lower leg",1.24706905260353,1.04075994441323,1.49427466949476
C341,1,1102,"Malignant neoplasm of upper lobe, bronchus or lung",1.24209741352214,1.03728964483575,1.48734347475596
N719,1,1788,"Inflammatory disease of uterus, unspecified",1.23678885929452,1.04794639814134,1.45966118609506
M2556,1,1239,"Pain in a joint, lower leg",1.23448030515271,1.05101657720984,1.44996916019687
E162,1,1556,"Hypoglycaemia, unspecified",1.2336371991126,1.01914290460935,1.49327511593454
R590,1,1060,Localized enlarged lymph nodes,1.23240519616369,1.04189142195574,1.45775513218092
M2323,1,853,Derangement of other and unspecified medial meniscus due to old tear or injury,1.23218545891033,1.07380273235699,1.41392916911046
S910,1,2033,Open wound of ankle,1.2273040685314,1.07310871186411,1.40365580856869
N835,1,2038,"Torsion of ovary, ovarian pedicle and fallopian tube",1.22673967564143,1.05846555203443,1.42176590338756
G438,1,966,Other migraine,1.22578949129711,1.03094445118514,1.45745958984223
O660,1,1012,Obstructed labour due to shoulder dystocia,1.22379946140612,1.05478410466494,1.41989731843148
J958,1,1592,Other postprocedural respiratory disorders,1.22046127833417,1.0473649021679,1.42216502465374
Z488,1,1223,Other specified surgical follow-up care,1.21711937542388,1.06845197164916,1.38647277869282
C099,1,1812,"Malignant neoplasm of tonsil, unspecified",1.21604720158096,1.03123218179263,1.43398433697277
N603,1,1954,Fibrosclerosis of breast,1.21530653010109,1.06630493866088,1.38512906445055
M2322,1,1035,Derangement of posterior horn of medial meniscus due to old tear or injury,1.21133431537497,1.04718685966483,1.40121202826646
M2550,1,1995,"Pain in a joint, multiple sites",1.21128837117886,0.978350509778911,1.49968697668968
F072,1,872,Postconcussional syndrome,1.20824561406881,1.01381604790688,1.43996286794881
L0301,1,1680,Cellulitis of finger,1.20602401014283,1.06635560197523,1.36398581331293
I319,1,875,"Disease of pericardium, unspecified",1.20584735141208,1.03047272952559,1.41106871947689
J90,1,999,"Pleural effusion, not elsewhere classified",1.203111895458,1.02307915523478,1.41482526116013
N940,1,2088,Mittelschmerz,1.20128073674657,1.02720847935681,1.40485153450249
S2731,1,2114,Contusion and haematoma of lung,1.19729800316357,1.02849288481923,1.39380887270935
S233,1,1968,Sprain and strain of thoracic spine,1.19657811341822,1.01530588791893,1.4102145949791
R14,1,1109,Flatulence and related conditions,1.19412743965073,1.05753654161129,1.34836035070164
J030,1,1458,Streptococcal tonsillitis,1.18931350442205,1.03865708691688,1.36182252026924
C182,1,1773,Malignant neoplasm of ascending colon,1.18815225539666,1.00040402555328,1.41113564714356
M1396,1,2041,"Arthritis, unspecified, lower leg",1.18585047492333,1.0140923043465,1.38669955668591
O714,1,936,Obstetric high vaginal laceration alone,1.18254884746171,1.0265077713125,1.3623099753497
R400,1,2094,Somnolence,1.18254432926784,1.01843531512715,1.37309760365971
Z411,1,1553,Other plastic surgery for unacceptable cosmetic appearance,1.18210244098036,1.02913705455289,1.3578037782138
J348,1,665,Other specified disorders of nose and nasal sinuses,1.18049144511732,1.04173463242654,1.33773036684891
I848,1,1094,Unspecified haemorrhoids with other complications,1.18013325383113,1.00746787483438,1.3823909740318
M353,1,1916,Polymyalgia rheumatica,1.17984659872733,0.985362333258667,1.41271687534967
F329,1,974,"Depressive episode, unspecified",1.17852178391141,0.992459436017862,1.3994663607881
O9901,1,985,Anaemia complicating pregnancy,1.17646056081172,1.02536548161634,1.34982060149291
C61,1,1218,Malignant neoplasm of prostate,1.17508558798593,1.03804529492225,1.3302176175228
T598,1,1911,"Other specified gases, fumes and vapours",1.17171098549449,0.969857355205274,1.41557583304391
K650,1,1929,Acute peritonitis,1.16847789066714,0.983942133852479,1.38762284285168
A09,1,1045,Diarrhoea and gastroenteritis of presumed infectious origin,1.16643469093049,1.03635679725807,1.31283925748914
C187,1,745,Malignant neoplasm of sigmoid colon,1.16347324786214,0.988280198186556,1.36972287917414
N328,1,874,Other specified disorders of bladder,1.16010055402756,0.992304745649801,1.35627013914334
G448,1,1146,Other specified headache syndromes,1.15928483546384,0.976554673592235,1.37620695090503
K8011,1,1448,"Calculus of gallbladder with other cholecystitis, with obstruction",1.15754442445539,0.996579694561116,1.34450772166078
T403,1,2126,Methadone,1.1570581298227,0.998551687636074,1.34072530482442
G35,1,704,Multiple sclerosis,1.15514773722141,0.987726169297453,1.35094759690012
F312,1,1547,"Bipolar affective disorder, current episode manic with psychotic symptoms",1.1551308120403,0.985167095552133,1.35441713283883
M8416,1,2122,"Nonunion of fracture [pseudarthrosis], lower leg",1.15433197209328,1.00127112419292,1.33079070154031
H259,1,1946,"Senile cataract, unspecified",1.15411532201535,1.00225120842937,1.32899034224957
T784,1,878,"Allergy, unspecified",1.14936341131552,0.986643063204211,1.33892012272469
I471,1,719,Supraventricular tachycardia,1.14772062034273,0.987616569899745,1.33377938615755
C539,1,864,"Malignant neoplasm of cervix uteri, unspecified",1.14709684842233,0.993190900253074,1.32485223064887
S5251,1,1171,Fracture of lower end of radius with dorsal angulation,1.14599782268067,1.03244850046019,1.27203536932202
K254,1,1252,"Gastric ulcer, chronic or unspecified with haemorrhage",1.14474047838379,0.974192370735115,1.34514578661863
J392,1,1573,Other diseases of pharynx,1.14237527275972,0.992806761262905,1.31447660786756
S0188,1,720,Open wound of other parts of head,1.136452385247,1.02603684778368,1.25875013818792
L500,1,1337,Allergic urticaria,1.13369949474789,0.988701753041459,1.29996183423145
S5201,1,772,Fracture of olecranon process of ulna,1.13327378532391,1.00956082647118,1.27214669867051
G442,1,925,Tension-type headache,1.13257832684636,0.980907176163628,1.30770137849224
R451,1,834,Restlessness and agitation,1.13046956697377,0.984647413087297,1.29788737051256
I830,1,830,Varicose veins of lower extremities with ulcer,1.13021223455881,0.995560132441888,1.28307638435991
M7954,1,843,"Residual foreign body in soft tissue, hand",1.12976579959804,0.96749484146426,1.31925329959349
S4240,1,2144,"Fracture of lower end of humerus, unspecified part",1.12850115614678,1.00362106475676,1.26892001786878
N830,1,1333,Follicular cyst of ovary,1.12413518226217,0.957936597686186,1.3191686287505
Z452,1,846,Adjustment and management of vascular access device,1.12335795576001,0.966713994404785,1.3053841198878
G500,1,1890,Trigeminal neuralgia,1.11824544546484,0.966922098391456,1.29325090240787
N200,1,758,Calculus of kidney,1.11796144821479,0.950995077183087,1.31424213403567
T830,1,1956,Mechanical complication of urinary (indwelling) catheter,1.11772514503519,0.949316988882531,1.31600878787024
R060,1,1358,Dyspnoea,1.11642143025854,0.89779042948945,1.38829371421269
C504,1,896,Malignant neoplasm of upper-outer quadrant of breast,1.11626647024584,0.982663862969263,1.26803363749429
K830,1,1159,Cholangitis,1.11557157817353,0.942571030987496,1.32032484037278
G403,1,1116,Generalized idiopathic epilepsy and epileptic syndromes,1.11549070337333,0.979649856915143,1.27016760174968
K4030,1,1994,"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene, not specified as recurrent",1.11343787737901,0.995667143572145,1.24513891493341
S682,1,2141,Traumatic amputation of two or more fingers alone (complete)(partial),1.10893086452672,0.953001033178404,1.29037390253256
K8041,1,747,"Calculus of bile duct with cholecystitis, with obstruction",1.10892921039845,0.970979750978657,1.26647748568957
E119,1,1430,Type 2 diabetes mellitus without complication,1.10534285192059,0.96278648495799,1.26900703258756
E050,1,1338,Thyrotoxicosis with diffuse goitre,1.10472231973699,0.95902629897796,1.27255259321426
D430,1,1715,"Neoplasm of uncertain or unknown behaviour of brain, supratentorial",1.1013778924274,0.924697981513861,1.3118156264837
T847,1,1870,"Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts",1.10078066708719,0.923000193871068,1.31280370803713
M0096,1,1813,"Pyogenic arthritis, unspecified, lower leg",1.09526806144449,0.952741875460843,1.2591155666797
K257,1,1905,"Gastric ulcer, chronic without haemorrhage or perforation",1.09214636881424,0.925430787942806,1.2888956218602
F339,1,1948,"Recurrent depressive disorder, unspecified",1.08874303564527,0.939796844257483,1.26129535857573
M5412,1,1359,"Radiculopathy, cervical region",1.08787126614973,0.954241186202178,1.24021464261498
G440,1,1232,Cluster headache syndrome,1.08689932393195,0.932999605620037,1.26618503721516
S565,1,1963,Injury of other extensor muscle and tendon at forearm level,1.08446043532766,0.943562733607346,1.24639771570341
S562,1,1299,Injury of other flexor muscle and tendon at forearm level,1.08408799349698,0.952889466532141,1.23335058149125
S999,1,2063,Unspecified injury of ankle and foot,1.08403665954693,0.954751749025487,1.23082830740151
M200,1,1716,Deformity of finger(s),1.08290570792388,0.950479007250489,1.23378292766973
K754,1,1381,Autoimmune hepatitis,1.08277129144229,0.919811486307784,1.27460211904694
R072,1,1222,Precordial pain,1.08174086719223,0.920121822731051,1.27174823468549
J189,1,683,"Pneumonia, unspecified",1.0779234626746,0.878138575532828,1.32316131389558
N993,1,2035,Prolapse of vaginal vault after hysterectomy,1.07780965588358,0.934205145905568,1.24348881978145
S0005,1,1865,"Superficial injury of scalp, contusion",1.07759028097067,0.899084586550154,1.29153678198182
O020,1,1851,Blighted ovum and nonhydatidiform mole,1.07745061294637,0.935070247746792,1.24151081283561
J841,1,2103,Other interstitial pulmonary diseases with fibrosis,1.07585997631101,0.89009801604389,1.30039014553971
K750,1,1564,Abscess of liver,1.07482774382095,0.916882199657197,1.25998157595291
S644,1,1062,Injury of digital nerve of other finger,1.06895405139509,0.932794458140164,1.22498880007526
F200,1,1068,Paranoid schizophrenia,1.06540768636877,0.922215117455235,1.2308338008011
K221,1,1071,Ulcer of oesophagus,1.06212768632863,0.913793939261807,1.23454005722247
M510,1,1345,Lumbar and other intervertebral disc disorders with myelopathy (G99.2*),1.06150267048352,0.906481748008698,1.24303431582479
S3314,1,2086,Dislocation of L4/L5 lumbar vertebrae,1.05964681027187,0.906259856634869,1.23899492435726
S825,1,687,Fracture of medial malleolus,1.054460250631,0.919939166553767,1.20865211590685
G510,1,914,Bell's palsy,1.05001891102351,0.917654056936518,1.20147642259405
S468,1,1325,Injury of other muscles and tendons at shoulder and upper arm level,1.04981122332571,0.925005233811143,1.19145661487754
G588,1,1085,Other specified mononeuropathies,1.04831686509364,0.882606614987248,1.2451393757746
T848,1,1157,"Other complications of internal orthopaedic prosthetic devices, implants and grafts",1.04446296263433,0.904094557881964,1.20662476154104
K121,1,1039,Other forms of stomatitis,1.0402705592095,0.882124985977373,1.22676814914048
O140,1,1964,Moderate pre-eclampsia,1.04023198090555,0.916865966943717,1.18019712052972
F201,1,807,Hebephrenic schizophrenia,1.04008315002728,0.905027190776989,1.1952933237751
C441,1,1155,"Malignant neoplasm of skin of eyelid, including canthus",1.03919355257333,0.927135552267809,1.16479541429346
A481,1,1960,Legionnaires' disease,1.03084699561748,0.88167842267386,1.20525295963454
C820,1,2065,"Small cleaved cell, follicular non-Hodgkin's lymphoma",1.02825256345291,0.871225865923262,1.2135812027654
J328,1,1668,Other chronic sinusitis,1.02674434756686,0.897023249063298,1.17522478526765
N72,1,1775,Inflammatory disease of cervix uteri,1.02295459269032,0.897992932528095,1.16530549495552
E876,1,1410,Hypokalaemia,1.02184973867947,0.886384505298667,1.1780179845173
K076,1,1849,Temporomandibular joint disorders,1.01984058818153,0.874344775037481,1.18954771046451
S4202,1,1164,Fracture of shaft of clavicle,1.01921927134361,0.895424647131433,1.16012880191103
H812,1,1719,Vestibular neuronitis,1.01438041077123,0.864288287889748,1.19053750024628
S9084,1,1580,Superficial foreign body (splinter) of ankle and foot,1.01407700220305,0.889742614536856,1.15578612240847
C851,1,1685,"B-cell lymphoma, unspecified",1.01171825006403,0.870137377707886,1.17633587952391
I846,1,1022,Residual haemorrhoidal skin tags,1.01129908055117,0.888442182546845,1.15114506088833
N1890,1,2129,Unspecified chronic renal failure,1.00992647453066,0.861821275378391,1.18348376060932
K628,1,1217,Other specified diseases of anus and rectum,1.00904790659233,0.892813200566192,1.1404151250818
K838,1,792,Other specified diseases of biliary tract,1.00582727004925,0.854506867988876,1.18394425495465
N183,1,2128,"Chronic kidney disease, stage 3",1.0041982387576,0.857820474578091,1.17555378148307
H348,1,1976,Other retinal vascular occlusions,1.00051054899889,0.873436960677031,1.14607167285677
M4802,1,2073,"Spinal stenosis, cervical region",1.00019294707511,0.888915792588295,1.12540011069657
N281,1,1416,"Cyst of kidney, acquired",0.998443310132321,0.872563675833488,1.14248285959846
S1223,1,1765,Fracture of fifth cervical vertebra,0.995967551455832,0.861620210478571,1.15126287834168
I831,1,1507,Varicose veins of lower extremities with inflammation,0.993625346346657,0.84273098035193,1.17153795448485
G932,1,1702,Benign intracranial hypertension,0.988489547160139,0.863702240220179,1.13130606746576
I801,1,1049,Phlebitis and thrombophlebitis of femoral vein,0.987357193784798,0.851801998518083,1.14448455135656
G4020,1,1823,"Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy",0.987093642725507,0.854868404190102,1.13977058309016
S2232,1,1069,"Fracture of one rib, other than first rib",0.986576700946644,0.863455557455182,1.12725383309758
J869,1,1829,Pyothorax without fistula,0.980395258749786,0.839815791193643,1.14450677572153
N492,1,1396,Inflammatory disorders of scrotum,0.980100344817432,0.864457625404076,1.11121315571973
O662,1,1234,Obstructed labour due to unusually large fetus,0.978617703258518,0.847191019513804,1.13043290954688
L089,1,1190,"Local infection of skin and subcutaneous tissue, unspecified",0.978147314223491,0.859440230893101,1.11325038546123
K4090,1,814,"Unilateral or unspecified  inguinal hernia, without obstruction or gangrene, not specified as recurrent",0.978121350555609,0.889721873417411,1.07530387303841
N832,1,1083,Other and unspecified ovarian cysts,0.977883399141287,0.835982288467207,1.14387105505481
Z800,1,1521,Family history of malignant neoplasm of digestive organs,0.97772817403436,0.862662333689339,1.10814202147004
C501,1,1689,Malignant neoplasm of central portion of breast,0.976134184615774,0.823011073967265,1.15774620356251
K625,1,1108,Haemorrhage of anus and rectum,0.975774820338479,0.832363017070956,1.14389572876161
S4300,1,1334,"Dislocation of shoulder, unspecified",0.97235387441997,0.849181556765534,1.11339212394197
N202,1,1469,Calculus of kidney with calculus of ureter,0.969438157836056,0.817062998234313,1.15022996256043
T202,1,1400,"Partial thickness [blisters, epidermal loss] burn of head and neck",0.965822229443283,0.841293906817223,1.10878323416819
R413,1,2127,Other amnesia,0.963660557438953,0.828887687671078,1.12034680183603
J339,1,1405,"Nasal polyp, unspecified",0.962939541556177,0.849337405647058,1.09173639890027
S270,1,856,Traumatic pneumothorax,0.958726206722188,0.854616642577525,1.07551841804033
T509,1,1006,"Other and unspecified drugs, medicaments and biological substances",0.956825037508591,0.838423095503662,1.09194767810319
D226,1,1473,"Melanocytic naevi of upper limb, including shoulder",0.950743432319887,0.806643806262826,1.12058515429161
K863,1,1944,Pseudocyst of pancreas,0.948424556798789,0.826320623596808,1.08857157167831
I951,1,787,Orthostatic hypotension,0.947447533980174,0.792216482044649,1.13309537227543
R15,1,1424,Faecal incontinence,0.945422309020164,0.822201359990863,1.08711002667638
H601,1,2106,Cellulitis of external ear,0.945073840084818,0.812050725697291,1.09988764857728
S6262,1,1627,Fracture of middle phalanx,0.943110425670475,0.825915214649314,1.07693533092983
M2537,1,831,"Other instability of joint, ankle and foot",0.9428782493272,0.808955484425493,1.09897195849496
L405,1,1467,"Arthropathic psoriasis (M07.0-M07.3*, M09.0*)",0.937666290440051,0.802606709713,1.09545317972983
C811,1,1735,"Hodgkin's disease, nodular sclerosis",0.937595617563529,0.823380167840899,1.06765450081159
S5220,1,867,"Fracture of shaft of ulna, unspecified",0.935408542314738,0.816793270098287,1.07124920474687
M2402,1,2069,"Loose body in joint, upper arm",0.935134591710922,0.822361373950511,1.06337278514613
L032,1,1275,Cellulitis of face,0.934175426001228,0.818192297607295,1.06659978234534
N991,1,1701,Postprocedural urethral stricture,0.931185554835414,0.79006590167206,1.09751165782378
G402,1,1822,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,0.93101921164071,0.800178090400622,1.08325481894926
M202,1,1520,Hallux rigidus,0.928909945672319,0.800759291082537,1.07756937294158
J051,1,1864,Acute epiglottitis,0.927994683550835,0.800769158756054,1.07543369182249
I498,1,937,Other specified cardiac arrhythmias,0.926726822884612,0.777564921767788,1.10450276267772
T243,1,1989,"Full thickness burn of hip and lower limb, except ankle and foot",0.924952035559699,0.79733585521362,1.07299359798239
D122,1,1107,Benign neoplasm of ascending colon,0.924810772435617,0.801163891426156,1.06754057935697
Z458,1,1009,Adjustment and management of other implanted devices,0.923755547407237,0.811698044605784,1.05128294571669
Z420,1,1414,Follow-up care involving plastic surgery of head and neck,0.9213339801845,0.808650374921034,1.04971979160401
M968,1,1827,Other postprocedural musculoskeletal disorders,0.919564905724878,0.780827275290565,1.08295348100659
H659,1,1561,"Nonsuppurative otitis media, unspecified",0.919070912971524,0.772127114260434,1.09397964074786
N648,1,1502,Other specified disorders of breast,0.917967497602399,0.796703378600251,1.05768890817924
M702,1,844,Olecranon bursitis,0.917932503363573,0.799439693743895,1.05398829620943
M660,1,1859,Rupture of popliteal cyst,0.916854641604824,0.776014926484505,1.08325549566487
H350,1,1639,Background retinopathy and retinal vascular changes,0.915214973235205,0.787328370260118,1.06387433613904
H501,1,1764,Divergent concomitant strabismus,0.913807786222448,0.794589216177312,1.05091367106401
T242,1,1721,"Partial thickness [blisters, epidermal loss] burn of hip and lower limb, except ankle and foot",0.912590779367661,0.799704586359928,1.04141197236056
S066,1,790,Traumatic subarachnoid haemorrhage,0.912536963466493,0.782925988932667,1.06360463372517
T835,1,1492,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system",0.911385354335067,0.774948291181967,1.0718434682004
S700,1,1713,Contusion of hip,0.910947385092921,0.785191140124893,1.05684475537464
D059,1,1757,"Carcinoma in situ of breast, unspecified",0.910574585560941,0.78896687750139,1.05092634369561
O85,1,1101,Puerperal sepsis,0.907804986294902,0.788787784053442,1.04478024356175
C19,1,2006,Malignant neoplasm of rectosigmoid junction,0.907735875098593,0.792509652855695,1.03971530942481
I842,1,1021,Internal haemorrhoids without complication,0.906970141928393,0.809131090498785,1.01663976086066
L732,1,2029,Hidradenitis suppurativa,0.906680678893727,0.775802593240565,1.05963792934149
G4060,1,1081,"Grand mal seizures, unspecified (with or without petit mal), without mention of intractable epilepsy",0.903993480629509,0.791040630873945,1.03307489037296
N132,1,1030,Hydronephrosis with renal and ureteral calculous obstruction,0.898792280240195,0.747927777028708,1.08008766064101
J13,1,1413,Pneumonia due to Streptococcus pneumoniae,0.898254648189451,0.747490821259422,1.07942651608016
M501,1,1437,Cervical disc disorder with radiculopathy,0.896553463746264,0.782685212554519,1.02698773461168
S680,1,1513,Traumatic amputation of thumb (complete)(partial),0.893028027058937,0.769466161972004,1.0364316152239
S810,1,1292,Open wound of knee,0.892008799738155,0.779361377971698,1.02093806711474
D351,1,1914,Benign neoplasm of parathyroid gland,0.891646126736868,0.763971533386244,1.04065764309429
